Didymellaceae_unclassified,Talaromyces,Ascomycota_unclassified,Aspergillus,Armillaria,Debaryomyces,Sporidiobolus,Trichosporon,Alternaria,Resinicium,Alutaceodontia,Phlebia,Strobilurus,Trametes,Filobasidiaceae_unclassified,Stereum,Ceratobasidiaceae_unclassified,Golovinomyces,Sclerotiniaceae_unclassified,Coprinellus,Rhodotorula,Athelia,Pseudopithomyces,Wallemia,Phaeosphaeriaceae_unclassified,Capnodiales_unclassified,Lecanoromycetes_unclassified,Sporobolomyces,Pleosporales_unclassified,Bondarzewiaceae_unclassified,Ceramothyrium,Pholiota,Penicillium,Naganishia,Baeospora,Sistotrema,Chaetothyriales_unclassified,Candida,Erythrobasidium,Bipolaris,Pleurotus,Itersonilia,Vuilleminia,Cladosporium,Helotiales_unclassified,Didymella,Teratosphaeriaceae_unclassified,Coniothyrium,Neoascochyta,Taphrina,Polyporaceae_unclassified,Ganoderma,Aureobasidiaceae_unclassified,Toxicocladosporium,Vishniacozyma,Curvularia,Fomitopsis,Peniophora,Cryptococcus,Cyberlindnera,Leotiomycetes_unclassified,Sordariomycetes_unclassified,Saitozyma,Phlebiopsis,Typhula,Sistotremastrum,Hypocreales_unclassified,Symmetrospora,Auriculariales_unclassified,Trichoderma,Stachybotryaceae_unclassified,Cylindrobasidium,Malassezia,subject_id
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998813549267367,0,0,0,0,1.1864507326333274e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
2.095411049800936e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997904588950199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
0,0,0.8953107960741549,0.03271537622682661,0,0,0.020719738276990186,0,0,0,0.010905125408942203,0.009814612868047983,0.009814612868047983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003271537622682661,0,0,0,0,0,0,0,0,0,0,0,0,0.017448200654307525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0,0,0,0.025587168226083635,0,0,0,0,0,0,0,0,0,0,0,0,0.004582776398701547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9698300553752148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
0,0,0,0.04896421845574388,0,0,0,0.013182674199623353,0,0,0.015065913370998116,0.00847457627118644,0,0,0,0,0,0,0,0,0,0,0,0,0.002824858757062147,0,0,0,0.005649717514124294,0.002824858757062147,0,0.004708097928436911,0,0.038606403013182675,0.004708097928436911,0,0,0,0,0,0,0,0,0,0,0.02448210922787194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8305084745762712,0,0,0,0,0,0,42
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
0,0,0,5.904494796663961e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9994095505203336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
0,0,0,0,0,0,0,0,0,0,0.9965138106731027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034861893268972916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
0,0,0,0.0031014621178555605,0,0,0,0,0,0,0,0,0.309260079751883,0,0,0,0,0,0,0,0.4155959237926451,0.0017722640673460345,0,0,0,0,0,0,0,0,0,0,0,0.0101905183872397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052724856003544526,0,0,0.011076650420912717,0,0,0,0.07576428887904298,0,0,0,0,0,0.11918475852902083,0,0,0,0,0,0,0.001329198050509526,46
